UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
SP,35,18800,Guarulhos,1337087
MA,21,09304,Presidente Vargas,11391
SP,35,37008,Pedregulho,16582
SC,42,11702,Orleans,22587
MG,31,50406,Piedade dos Gerais,4954
RS,43,10504,Iraí,7969
MA,21,02408,Cajapió,10975
SP,35,14809,Eldorado,15388
ES,32,01100,Bom Jesus do Norte,10215
PR,41,18303,Paranapoema,3084
PE,26,14808,Tacaratu,25003
RS,43,04358,Candiota,9362
BA,29,05701,Camaçari,292074
RS,43,19364,São Pedro das Missões,1991
SC,42,03303,Campo Alegre,12002
SC,42,12502,Penha,30262
RS,43,10652,Itati,2592
GO,52,15256,Novo Planalto,4343
BA,29,01106,Amélia Rodrigues,26424
MG,31,53004,Pratinha,3543
BA,29,17607,Jaguaquara,55751
MG,31,64803,São Sebastião do Rio Preto,1591
PI,22,09609,São Félix do Piauí,2909
PR,41,15358,Maripá,5784
SP,35,36570,Paulistânia,1840
RS,43,22905,Viadutos,5237
MG,31,60801,São Bento Abade,5103
MG,31,03751,Araporã,6717
PR,41,11100,Itambé,6201
MT,51,08402,Várzea Grande,271339
SC,42,12304,Paulo Lopes,7282
SC,42,02453,Bombinhas,18052
SP,35,26308,Lagoinha,4949
PA,15,03200,Igarapé-Açu,37547
RN,24,02501,Carnaubais,10592
SC,42,15687,Santa Terezinha do Progresso,2611
ES,32,02603,Iconha,13904
SP,35,43907,Rio Claro,201473
PR,41,24053,Santa Terezinha de Itaipu,22783
MG,31,49309,Pedro Leopoldo,63406
ES,32,03403,Mimoso do Sul,27369
PA,15,01402,Belém,1446042
MG,31,71071,Veredinha,5786
BA,29,25006,Planalto,26743
PR,41,03024,Boa Esperança do Iguaçu,2694
PI,22,08700,Redenção do Gurguéia,8618
TO,17,20655,Silvanópolis,5372
SP,35,52700,Tabatinga,16021
SP,35,38600,Piracaia,26841
GO,52,15801,Palmelo,2420
GO,52,01405,Aparecida de Goiânia,532135
PA,15,04406,Marapanim,27471
RN,24,01909,Caiçara do Rio do Vento,3645
PR,41,12009,Jaguariaíva,34647
RS,43,19711,São Valentim do Sul,2261
RJ,33,02601,Mangaratiba,41557
MS,50,01243,Aral Moreira,11586
BA,29,26657,Ribeirão do Largo,7835
AM,13,03957,São Sebastião do Uatumã,13105
PA,15,06583,Santa Maria das Barreiras,20396
MG,31,58953,Santana do Paraíso,32232
AM,13,00508,Barreirinha,31105
BA,29,30766,Sítio do Quinto,11517
MG,31,27370,Goiabeira,3304
MG,31,27339,Gameleiras,5250
PR,41,20358,Pranchita,5517
PB,25,08406,Lastro,2745
ES,32,02454,Ibatiba,25567
RN,24,12104,São João do Sabugi,6240
CE,23,07007,Jaguaruana,33607
TO,17,10706,Itaguatins,6007
SE,28,04300,Muribeca,7662
RR,14,00605,São Luiz,7503
RS,43,20859,Tabaí,4494
PR,41,25753,São Pedro do Iguaçu,6336
MT,51,03254,Colniza,34885
SP,35,21408,Iracemápolis,22914
CE,23,00903,Apuiarés,14644
RS,43,12401,Montenegro,63551
MG,31,08909,Brazópolis,14911
PB,25,11301,Piancó,16039
AL,27,04708,Marechal Deodoro,51715
RS,43,09506,Guarani das Missões,8114
BA,29,10107,Dom Basílio,12553
BA,29,13903,Ipiaú,47606
BA,29,10750,Fátima,18461
MG,31,58706,Santana do Garambéu,2419
MS,50,05400,Maracaju,44042
MG,31,31208,Ipanema,19603
MG,31,52402,Poté,16573
RN,24,03400,Equador,6103
PE,26,11101,Petrolina,337683
PR,41,16208,Morretes,16488
TO,17,01903,Araguacema,6934
MT,51,05580,Marcelândia,10639
PB,25,17209,Vieirópolis,5327
RS,43,11908,Marcelino Ramos,4982
PR,41,09906,Icaraíma,8561
SP,35,49409,São Joaquim da Barra,50520
SC,42,02057,Balneário Barra do Sul,10073
BA,29,08309,Conceição do Almeida,18278
RO,11,00940,Cujubim,21720
PE,26,12471,Santa Cruz da Baixa Verde,12439
MG,31,05608,Barbacena,135829
PR,41,08650,Goioxim,7482
ES,32,04807,São José do Calçado,11024
GO,52,10901,Itapaci,21323
AC,12,00328,Jordão,7685
BA,29,07004,Cardeal da Silva,9809
CE,23,02503,Brejo Santo,48451
PA,15,02806,Curralinho,32881
SP,35,54508,Tietê,40613
TO,17,15754,Palmeirópolis,7666
SP,35,35705,Paraíso,6330
SP,35,05708,Barueri,264935
BA,29,22805,Nova Itarana,8372
PA,15,01303,Barcarena,118537
SP,35,20905,Ipaussu,14674
RN,24,12302,São José do Campestre,12971
RS,43,18481,São José do Hortêncio,4504
BA,29,26400,Riacho de Santana,36246
BA,29,25907,Quijingue,28556
MG,31,09709,Cachoeira de Minas,11607
GO,52,02502,Aruanã,8945
SC,42,08203,Itajaí,208958
MG,31,43302,Montes Claros,398288
MG,31,01607,Alfenas,79222
GO,52,19407,Santa Rita do Araguaia,8069
MG,31,54606,Ribeirão das Neves,325846
MS,50,05004,Jardim,25617
MG,31,39003,Machado,41651
MT,51,00102,Acorizal,5301
CE,23,10506,Pedra Branca,42795
PR,41,26801,Tapejara,15835
SC,42,13906,Presidente Castello Branco,1630
PR,41,13502,Loanda,22754
MG,31,61205,São Francisco de Paula,6671
PE,26,03009,Cabrobó,33557
PI,22,01002,Arraial,4662
MG,31,24807,Estrela do Sul,7940
MA,21,10708,São Domingos do Maranhão,33699
MG,31,64100,São Pedro do Suaçuí,5522
SC,42,08906,Jaraguá do Sul,167300
SC,42,16206,São Francisco do Sul,49658
BA,29,30758,Sítio do Mato,13381
MT,51,08055,Terra Nova do Norte,9816
MG,31,44300,Nanuque,41808
AL,27,03304,Inhapi,18637
RS,43,18200,São Francisco de Paula,21617
RS,43,19208,São Nicolau,5704
RS,43,07906,Farroupilha,69066
TO,17,15101,Novo Acordo,4213
AL,27,09400,Viçosa,26176
PR,41,03222,Bom Sucesso do Sul,3361
MG,31,47501,Passabém,1742
MS,50,07901,Sidrolândia,52975
PR,41,00806,Alvorada do Sul,11148
MG,31,47006,Paracatu,91724
SP,35,05005,Barão de Antonina,3380
PI,22,01572,Belém do Piauí,3485
GO,52,14101,Mutunópolis,3911
PI,22,05805,Luzilândia,25067
PI,22,02455,Capitão Gervásio Oliveira,4021
RS,43,14050,Parobé,55893
RJ,33,03906,Petrópolis,298158
SP,35,55505,Ubirajara,4711
SP,35,21804,Itaí,26287
SP,35,32827,Nova Campina,9406
CE,23,00200,Acaraú,61715
RO,11,01401,Monte Negro,16032
SP,35,43709,Rincão,10809
MG,31,01300,Alagoa,2756
RS,43,23770,Westfália,2965
RN,24,08508,Ouro Branco,4877
PR,41,18808,Peabiru,14171
SP,35,44103,Rio Grande da Serra,48861
SP,35,19501,Ibirarema,7459
MT,51,07156,Reserva do Cabaçal,2638
RJ,33,04110,Porto Real,18552
MG,31,26752,Franciscópolis,5708
CE,23,02107,Baturité,35154
RS,43,21006,Tapera,10809
SP,35,10906,Cássia dos Coqueiros,2607
TO,17,12157,Lavandeira,1845
PE,26,15409,Toritama,43174
ES,32,04302,Presidente Kennedy,11396
GO,52,21577,Uirapuru,2967
BA,29,11659,Guajeru,8322
PE,26,00054,Abreu e Lima,98990
SC,42,02107,Barra Velha,27080
MG,31,11804,Canápolis,12062
BA,29,33000,Valente,28426
MG,31,01003,Águas Vermelhas,13513
SP,35,21903,Itajobi,15212
PE,26,12554,Santa Filomena,14265
GO,52,01801,Aragoiânia,9607
RR,14,00704,Uiramutã,9664
PR,41,05904,Colorado,23811
AL,27,02603,Feira Grande,22458
SP,35,12902,Cosmorama,7381
SP,35,48054,Santo Antônio do Aracanguá,8228
MG,31,12000,Candeias,15128
RS,43,03301,Caibaté,5050
MG,31,45901,Ouro Branco,38601
RS,43,01073,Arroio do Padre,2895
PB,25,08307,Lagoa Seca,27398
MS,50,00252,Alcinópolis,5114
PB,25,04504,Condado,6743
MG,31,16506,Claro dos Poções,7840
RJ,33,04607,Santa Maria Madalena,10198
SP,35,47908,Santo Antônio da Alegria,6785
PA,15,05494,Palestina do Pará,7404
